FeatureId	Sample02	Sample04	Sample06	Sample08	Sample10	Sample12	Sample14	Sample16	Sample18	Sample20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
f0435	-0.1366	1.6692	0.7531	0.2382	1.8245	-0.3275	-0.2329	-0.1792	0.9593	-0.6184	-1.5178	0.5632	-0.3489	0.8016	0.3179	1.5719	-0.3993	-0.6194	0.6741	-0.1617
f0424	-1.2589	-0.1389	-2.0962	-1.2489	0.5506	1.0783	-1.1637	-1.5676	-0.8838	0.2682	1.4479	-0.2939	0.7695	0.2398	-0.1101	0.4767	-1.6367	0.0034	0.3941	-1.2655
f0151	-0.7569	0.1182	-0.2865	0.8054	-0.5998	0.7825	-1.2494	0.6185	1.7733	-0.7255	0.6794	-0.8729	-0.2252	-1.4998	-0.2688	-1.5052	0.0385	0.26	-0.4766	-1.045
f0660	-1.158	0.2132	-0.4961	0.9586	1.1663	-2.2893	-0.4771	-0.0957	-0.4195	-0.7902	0.2387	-0.5905	-1.5919	0.6116	1.373	-0.2969	0.6942	0.4265	-1.5643	0.2511
f0396	1.0263	-0.0382	1.1182	1.9121	1.849	-0.6505	-0.7773	-0.3404	-0.3473	0.2134	1.2079	0.0546	0.6459	1.9578	1.3096	0.2849	0.6809	1.8877	0.3642	-0.8208
f0932	-1.6341	-1.2114	-1.9518	-1.6697	-1.6788	-3.7325	-0.715	-3.4022	-1.5144	-2.3351	0.3944	1.1616	-0.6376	1.6362	1.0053	1.0937	1.809	1.2615	0.8926	-0.2305
f0180	-1.3457	-0.1389	-0.1312	-0.9758	-0.4337	1.0525	-0.6574	1.0034	2.5038	-0.8554	-0.1009	0.0679	-0.0981	-0.0216	0.9544	-1.4811	0.2859	0.0908	0.1014	-0.622
f0199	-1.424	-0.1837	-0.2765	-0.1005	-0.5696	0.0128	0.4696	-0.3948	-1.234	0.7034	-2.0573	0.3729	0.7893	-0.399	1.0235	-1.5993	0.776	0.1921	-0.3966	-0.3505
f0518	-0.1455	0.5694	0.2222	-0.4958	0.0087	-0.2978	-0.6884	-1.0982	-0.8309	-2.1273	0.5807	2.3945	0.0405	-0.6396	-1.858	0.2265	0.7401	0.1294	-2.1097	-1.5207
f0499	-0.6264	0.0788	-0.5322	-0.3763	-0.2533	-0.1645	1.0694	0.8338	0.2335	-0.045	1.9835	1.2515	0.301	-1.8737	-1.746	-0.1156	2.0855	0.3146	0.0951	-0.9714
f0944	1.2501	1.4869	0.9326	1.5758	1.0474	2.7034	0.6379	0.7238	0.5627	0.2564	-1.1247	-0.0052	0.2133	0.7267	0.7133	2.3535	-1.813	0.0368	-0.0058	0.277
f0030	-1.4054	1.132	-0.3439	0.1282	1.4333	1.3567	0.6653	-1.724	-1.4604	-0.4757	-0.26	-0.3949	0.4153	0.4124	1.0247	-0.731	-1.492	-0.5627	-0.2612	-0.6742
f0556	0.789	-1.3673	-0.3208	0.7747	1.7863	1.2167	-0.8632	0.5711	-0.1774	-0.8009	0.5619	-0.6413	1.5594	0.572	0.545	0.8779	0.631	1.9062	-0.2432	-1.5706
f0803	-1.0642	0.2918	2.5923	0.1999	-1.739	-2.6559	0.747	0.5147	0.9002	1.7199	-0.2624	-0.4846	-1.2731	0.4989	-1.8807	-0.3915	-1.0021	-0.6962	-1.3428	-0.295
f0516	-0.7075	1.0828	-0.864	2.3644	0.0635	-0.1277	-1.1518	0.7621	0.9368	-0.0935	0.5416	0.348	-0.9525	0.8015	0.2157	1.4609	-0.1623	0.4845	0.6028	0.3188
f0484	0.5391	-0.3577	0.7616	2.2089	0.791	0.5453	1.5392	0.1699	0.364	1.003	-0.407	-0.0536	-0.2438	-0.7196	-0.7729	0.843	0.918	0.8197	-1.1979	2.1638
f0948	0.6233	1.4071	3.079	1.2994	-1.115	1.4138	0.4228	0.2911	1.3206	2.4591	0.5456	-0.7249	-2.2423	0.7676	1.8215	0.9722	-1.4986	-0.3279	0.4756	-1.4361
f0848	-1.3114	1.0321	-0.6823	1.3605	0.5392	1.9223	0.5581	-0.5386	-0.6946	-0.5348	0.8704	-1.3514	1.8533	0.3793	2.1414	-1.456	1.2638	0.3178	0.4834	0.402
f0436	1.2939	-0.3598	0.7139	1.0855	-0.1067	-0.0051	-0.087	0.3043	0.3625	-0.0597	1.0777	0.5483	1.5893	-1.0077	-0.9856	1.076	-1.7907	0.4984	-0.4385	-0.4552
f0586	-1.8008	0.476	-0.8205	-0.7777	0.8789	1.3474	-0.2128	0.0645	0.2943	1.1537	-1.0901	-1.4075	1.8393	-0.5482	-1.4987	-1.3379	1.2866	-0.6111	-0.0064	-0.0468
f0863	-1.2317	0.5413	-1.5726	-1.2897	-0.6741	-0.9383	-0.1534	0.4398	-0.3361	0.4718	-0.0886	-2.7935	-0.1636	-0.0892	1.024	-0.3857	-1.993	0.2686	0.6997	-0.0482
f0204	0.1649	1.1089	0.4785	-1.9256	0.0576	-0.5786	0.3766	-0.6415	0.741	-1.0879	-0.6059	0.5271	-1.7932	-0.1284	1.3463	0.8377	-1.8268	-1.4204	-0.848	1.37
f0220	1.9728	1.0242	-0.1997	-0.1199	0.5923	0.7262	1.3072	-0.132	0.3852	-1.1313	0.9546	-1.6599	-0.3887	-0.4294	-0.6312	0.125	-0.1724	0.1557	-0.7522	0.7642
f0990	5.4047	1.0246	2.1579	4.3591	3.5909	3.0075	3.7327	3.2653	2.2599	2.3755	0.0067	-2.2035	0.3003	0.4441	0.4001	-1.1281	-1.3599	0.5457	-1.1627	1.0709
f0386	-1.1078	1.3044	1.6484	1.8814	-0.4589	-0.9318	1.3776	0.7001	0.5005	1.8205	0.3493	1.143	-1.2016	0.105	1.3883	0.265	-1.1638	0.4235	0.1771	-0.0232
f0149	-1.5729	0.918	0.6996	1.9385	-0.4495	-1.1431	0.4096	-0.5425	-0.9108	-0.4421	-0.2002	0.0187	0.0195	-0.4781	-1.5967	1.2076	-0.3432	-0.5491	0.5762	-1.7469
f0976	2.8042	0.8441	4.2221	2.555	3.2019	2.5784	1.8999	1.8082	0.8233	1.7118	0.6206	-0.6076	-1.3467	0.2211	-2.4554	-2.1238	2.6183	0.1079	-0.6929	-0.4425
f0089	0.3032	2.2913	-1.3509	-0.2576	0.1231	0.316	-0.0987	-0.9075	-0.7226	0.2893	0.4287	1.7815	-1.9005	0.6198	-1.0027	0.0605	-0.4641	0.3132	1.3122	-0.2203
f0734	2.5071	1.4311	0.9981	-2.5432	-0.7396	-1.6299	1.371	-0.7524	0.7793	0.6306	-0.8907	0.5709	1.1998	0.2317	-0.6258	0.7467	0.675	1.3299	-1.1473	0.2147
f0521	-0.6359	0.5951	-0.4748	-0.7656	2.2302	0.4201	0.9761	0.8039	-0.1119	0.2608	0.2699	0.7755	-0.3591	0.3464	-1.8572	1.1244	-0.012	-0.9637	0.175	0.6471
f0472	1.3187	-0.5953	0.0567	-0.5519	-1.9189	-0.2918	0.7509	1.1433	-1.9774	0.1719	0.8361	0.3553	-0.1732	-1.2826	-0.5229	1.7388	-0.7766	-0.9118	1.4454	0.7965
f0278	-0.131	1.898	0.7057	-0.6998	-1.3888	-1.3568	0.2343	0.7825	1.8413	-0.1245	-0.7149	-0.0632	0.2812	0.3549	1.1168	-1.6202	-0.231	-0.4195	0.798	-0.0402
f0383	-0.4839	-1.907	0.5549	-1.8959	0.9766	-2.3245	-2.9952	-0.0003	1.0651	0.6726	1.2462	-1.3218	0.2578	-0.7147	-0.8612	0.4528	-1.1704	-0.98	0.5945	-0.6585
f0422	1.1013	0.7523	1.7039	-0.3079	-1.3367	-0.8448	1.6514	-0.5524	-0.2532	0.6002	0.5362	-0.3727	-0.6717	1.153	-0.5449	-0.3196	-0.578	0.503	-0.6021	0.8193
f0152	-0.8472	-0.5627	0.2754	0.3973	-0.9235	0.4509	1.6551	-0.4986	0.3405	0.0838	-2.0231	-1.764	-1.0417	0.0526	-0.9846	-1.7509	-0.4364	0.2893	-1.0529	1.1306
f0872	0.2626	-0.7687	-0.6017	-0.0596	-1.035	0.3777	1.1258	0.8237	-1.2512	-1.223	-0.0465	0.0757	0.1005	-0.6389	-2.6289	-1.2151	-1.1651	-0.9782	0.2803	0.6096
f0063	0.0704	-0.6272	0.008	-1.4255	0.7148	0.0057	-1.0676	-1.0843	0.2902	2.2804	0.3048	-0.185	0.8742	0.7065	-0.1676	-0.0622	2.2927	1.006	0.9144	-0.5429
f0233	-0.5717	1.7338	1.0306	1.5042	-2.0384	0.3872	-0.159	0.65	0.8773	0.0128	-0.2482	1.8474	0.4153	-0.8962	-0.3236	3.1287	-0.6918	-0.1885	-0.0402	-0.0388
f0178	0.704	-0.9447	0.5398	-0.4466	0.5419	-0.907	0.1919	0.1311	1.4973	0.527	0.6573	-1.3926	1.5144	0.837	0.4237	0.3446	0.1291	1.3544	2.5999	-0.115
f0238	1.0725	-0.4339	-0.0795	-0.4986	-0.2447	-0.3987	-1.4377	1.4088	-1.0343	-0.7324	-0.3209	-0.3382	0.0703	1.2107	-1.1436	-0.0771	0.4027	0.732	2.61	1.6042
f0750	0.0427	1.4035	1.054	-0.6144	-0.3003	0.1186	0.652	0.4547	-0.1717	0.0337	1.5216	0.9317	-1.0926	1.7749	0.8848	-0.3708	-0.0532	0.4321	-0.6698	-2.1852
f0373	-1.1572	-0.345	-0.1608	-0.5633	-1.0183	-1.2731	0.0911	0.9436	-0.3082	0.7507	-0.8894	-1.3789	-0.2161	2.5063	0.0407	0.2963	-0.2814	-0.4116	-0.7727	-0.0882
f0652	0.2492	-0.418	-0.6323	-0.2336	-0.6722	0.8381	0.0116	1.3441	-0.4879	-2.4521	-0.6917	0.0984	0.3891	1.0228	1.0355	1.1854	-2.5221	0.5782	-1.4824	-0.3209
f0735	0.7021	1.2656	-0.4314	-1.457	0.3644	-0.9154	-0.0418	0.1089	-0.6584	-1.3552	0.5834	0.5761	0.5292	-0.3169	-0.1719	0.2223	1.0911	0.5662	0.9783	1.8534
f0344	-0.1585	1.7696	-1.4843	-0.4704	-1.2395	-0.2504	0.3479	-0.5957	1.5309	-0.2004	0.5099	1.7858	0.3034	-0.8938	0.6926	1.7464	-0.0514	0.6097	-0.5972	0.4435
f0907	0.0084	-1.0248	1.0072	0.2004	-1.1442	0.0394	-0.7159	-0.3473	1.2019	-1.3728	-0.6858	0.1168	0.2228	-0.7394	1.3202	-0.4535	1.0663	0.9382	0.2712	1.0758
f0279	-0.6436	-0.4304	-0.6007	2.1062	0.9175	-0.3418	-1.246	2.0069	-0.2062	-1.3373	0.3512	0.1401	-0.3635	-1.9538	-1.8911	-0.2034	-0.2007	1.798	-1.4578	-0.4817
f0601	0.3193	0.2188	0.4311	0.4245	-0.6081	-1.3189	0.7114	-1.217	0.7431	0.0571	-1.3888	0.7215	1.4803	-0.243	-3.0395	0.9331	0.2603	-1.6774	-0.5405	-0.6118
f0280	1.5119	-1.0528	-0.4437	-1.8731	0.3985	1.4828	-1.8284	-1.345	0.6372	1.7637	-0.375	0.0578	-1.1807	-1.1668	-0.1492	2.2742	0.4638	-0.0665	0.8221	-1.5207
f0522	1.1469	0.0932	1.555	0.883	0.7791	-0.4453	-1.238	0.525	-0.1747	-0.9127	-1.0312	-0.1879	1.3569	-1.952	-1.1614	-0.09	-1.3831	-1.1984	-0.4664	-1.8733
f0950	0.7727	2.3666	1.4002	1.5438	0.8276	-0.2416	0.924	0.4655	1.1085	0.134	-0.8802	0.7101	-0.0404	-1.1442	-0.4126	0.0398	-0.6212	-1.0124	0.5887	0.0354
f0708	1.6346	0.4434	0.2304	-0.8643	-0.1615	0.1006	-0.9262	1.1244	-1.5673	1.0669	-0.4089	-0.4898	0.451	-0.5591	1.2972	-0.4619	0.7316	1.1405	0.6712	-0.933
f0323	-0.9435	0.9095	-0.5304	1.832	0.7141	-0.4247	0.443	-0.6169	-1.2458	3.3768	0.8921	-0.1934	0.5532	0.0674	0.6242	-2.4618	-0.0809	-0.3276	-0.5188	1.2096
f0313	-1.173	-1.7889	0.6729	0.523	0.5568	-0.6089	-0.7454	0.3358	1.2874	-0.1433	1.6003	-0.477	-0.5555	0.2369	-0.6058	1.1774	0.87	-0.4309	1.0858	-1.6002
f0737	-1.1343	-0.3809	0.583	-0.5007	0.5454	1.0482	0.1414	-2.3967	-0.9248	-0.0307	-1.1053	0.348	-0.602	-0.7061	-0.4116	-1.0016	0.9358	-0.0024	-0.5319	-1.309
f0530	-0.0936	-1.8679	-1.7195	-1.2719	-0.1237	0.0837	-0.5103	-0.5026	-1.7219	-0.6046	1.39	-0.866	-1.0919	-0.2617	1.5848	0.7065	-0.7483	-1.4493	0.1174	0.4542
f0609	3.2664	0.8035	0.909	-0.3719	0.4173	0.4428	-0.9049	-0.5436	0.4535	0.9325	0.6575	-1.4798	-0.7827	0.0916	-0.931	-1.8851	-0.6149	-1.4426	-0.1186	-0.3113
f0496	-1.7612	1.5663	-0.4646	1.4576	0.6214	1.4947	1.167	-1.0868	0.2748	-0.0708	0.5898	-1.0812	-0.0764	2.1151	0.5606	-0.4901	0.1832	-1.1881	-0.8593	0.3836
f0740	0.1054	2.403	-1.3512	-0.8999	-1.4761	-0.7442	1.146	0.227	0.3837	0.6542	-1.2764	-2.5115	1.606	0.7721	0.4647	-1.0312	-0.1994	0.4698	-0.5956	-0.8262
f0933	-3.4251	-1.2447	-3.0872	-3.3255	-4.0829	-1.2177	-1.7573	-3.2644	-2.8521	-2.9824	-0.1376	-1.0008	-1.0147	-0.3373	1.7496	1.117	-1.7695	0.8494	1.4563	-1.4862
f0156	1.1174	-0.7301	0.1298	0.0915	0.1696	0.8597	0.2461	0.4901	-0.1545	-1.391	-0.241	1.2433	-0.4811	-0.3051	0.0818	0.727	-0.3583	0.5423	-0.8112	-0.3059
f0724	0.6211	-1.0497	-0.8078	0.7677	-1.9841	0.9969	-1.5672	0.1807	0.7392	-1.6323	0.0269	1.859	0.348	-0.2882	-1.6993	0.6674	1.8998	-1.329	0.9769	-0.4035
f0410	0.8061	-0.9794	0.926	-0.4593	-0.6089	-0.4818	-1.3282	-0.7331	0.2146	0.6011	0.6235	0.3913	0.8221	0.0787	0.5469	0.2623	-1.2522	2.1102	-0.8736	0.2155
f0931	-1.7516	-2.3421	-2.6432	-1.2219	-4.2962	-2.8834	0.3516	-1.8534	-2.4364	-4.4907	-1.3129	-1.4397	-0.13	0.3359	-0.7813	0.8608	0.6485	1.1775	-3.8157	-0.7843
f0154	1.918	1.0485	0.58	-1.0463	-1.147	-0.4165	2.3386	-0.4795	0.6105	-0.037	1.8107	-0.0748	0.2557	-0.0129	0.3651	1.0203	-0.387	-0.3173	0.1753	0.7174
f0616	-0.9746	1.0387	-0.2264	1.1184	-0.2292	0.8201	0.2032	-0.5081	0.8209	-0.4301	1.3458	-0.0928	0.4404	-0.022	0.7512	-0.4104	-0.2701	-0.3718	-0.733	-0.6336
f0898	-0.7768	1.5926	-1.0764	-0.2379	-1.7319	0.9334	0.0586	-0.7177	-0.7427	1.2946	-1.8868	-0.074	-0.8181	-0.3932	-0.5098	-0.038	0.2684	0.8535	0.7719	0.4085
f0765	-0.9819	1.4752	-0.8836	-0.3698	0.2191	1.082	0.7224	0.6255	1.7469	-2.1365	0.1697	-1.0482	-0.3338	-0.8446	-0.7748	-0.3948	-1.6796	-1.9541	-0.3138	1.022
f0443	0.4966	-2.2907	0.3372	-0.553	0.2303	-1.1985	0.2447	-1.9893	0.4003	-1.4227	-0.22	1.6685	0.4616	0.4032	-0.432	-1.3152	-0.8921	-1.9754	0.1048	0.1407
f0575	0.3701	0.4759	0.7202	1.1544	-1.0372	-1.6848	-0.6797	-1.3675	0.5774	1.1622	1.6131	1.1639	0.2844	0.124	0.9005	-0.7954	0.3351	-1.5536	-0.1723	-0.5458
f0928	-1.7427	-2.9716	-1.416	-1.3336	-0.9234	-2.5	-1.2807	-1.0175	-3.1517	-3.4716	-0.4351	-0.8434	2.4336	0.187	-0.3383	0.9509	-0.7339	1.655	0.0942	0.6929
f0081	-0.222	-0.4795	-0.8161	0.5158	-0.422	0.4461	-0.0696	0.5885	-0.1776	0.2026	-0.6063	-2.4078	0.8019	0.3271	0.4155	0.3286	1.5039	0.5893	-0.6611	0.3651
f0747	0.4216	-0.1941	-0.5318	-0.1925	-0.5049	1.3948	-0.4889	0.2183	-1.0378	-0.102	0.4811	-0.711	1.0205	-0.826	1.0714	0.5792	0.6907	0.0851	-0.7555	-0.0779
f0228	-2.7159	-1.033	0.0399	-0.345	-2.7422	1.1064	1.0732	-0.5173	-1.2604	-1.5033	0.3987	-0.5747	-1.663	0.0457	-0.3952	-0.7899	-0.1776	-0.2884	-0.0723	1.3926
f0474	1.5497	1.6109	0.4479	-1.0898	-0.1792	0.5788	0.3239	0.7144	0.3258	0.2982	-0.6047	1.4032	-0.5291	-0.2873	0.0845	-0.2886	0.1825	-1.8323	1.5794	-0.2247
f0088	0.9087	-0.7148	-0.5823	-0.9581	0.5356	-1.4118	-0.3309	-1.4707	0.597	1.3856	-0.1744	0.5696	1.2005	0.3238	0.8213	-0.7022	-2.2083	-0.851	0.8151	-0.7481
f0674	1.5724	-0.8469	-0.3706	-0.1417	0.925	0.0808	-0.4251	-2.9078	-0.6609	-1.7723	1.611	0.0054	0.0652	0.6763	-0.291	0.2155	0.6765	0.9658	-0.4696	0.4804
f0254	1.1223	0.1904	0.4951	-0.7726	-1.7164	1.9076	0.0933	-0.2018	-0.4338	-1.5492	0.0432	1.7685	-2.9977	0.6275	-1.277	-1.341	-0.9073	-1.213	-0.1979	-0.4452
f0626	-0.3012	-1.1846	0.8999	0.1242	-0.1333	-1.4167	-0.4054	-1.4316	-1.4675	-1.191	1.7207	0.27	0.9088	-0.0671	0.5496	0.2006	-0.4699	0.7249	-0.1323	-2.3055
f0213	0.1882	-0.1652	0.7499	-1.307	0.2259	1.3082	0.1685	-0.1546	-0.2015	0.5123	-0.532	0.8999	-0.2763	3.3394	-1.1905	0.207	-0.0013	1.3838	-1.0248	-0.1726
f0987	1.8523	0.68	3.1347	3.0177	2.8046	3.7371	4.225	2.9261	2.834	3.3737	-0.2407	0.9365	-2.3315	0.7939	0.6551	0.7742	0.2015	-2.116	-0.252	-1.9874
f0902	1.456	1.2412	-0.6831	-0.2759	-0.6034	0.7924	-0.5613	0.7597	-3.4335	1.7754	0.3477	0.6843	-0.1834	0.1321	0.5782	0.7391	-0.2739	0.4947	-0.3679	-0.4871
f0214	-0.3546	-0.8337	0.9535	-0.4096	0.8221	0.9377	1.0944	0.2997	-1.5299	0.698	0.335	0.2119	0.1629	0.2186	0.7021	0.1533	0.0131	0.4775	-0.0474	-0.0082
f0144	-0.5896	1.0702	-0.9457	1.0107	-0.1628	0.0449	0.4685	-1.3377	-0.8549	-1.1979	0.4319	1.0061	-0.335	1.0173	-1.4824	1.3936	-0.1042	-0.2232	0.8258	-2.1173
f0796	0.5938	0.1087	0.5924	1.3752	1.2779	-0.3685	-0.7576	0.982	-1.0512	2.3206	-0.3763	0.3174	-0.4741	-1.3226	0.7768	0.1209	1.1499	-0.2611	-2.0254	-0.0957
f0842	0.5826	-0.4898	-0.9277	2.3635	-0.1527	0.1955	0.8863	-1.2977	-1.2845	1.4425	0.5369	0.1085	-0.482	-0.9741	-1.5976	0.5459	0.9041	-1.1773	0.1266	1.893
f0102	0.2611	-1.9439	1.0901	0.7858	1.1259	0.3976	0.5889	0.146	0.5618	0.7879	0.5782	0.155	0.5039	1.6559	0.66	0.0661	-0.5531	0.8141	-1.5829	-0.316
f0202	-1.078	-0.0961	2.4985	-1.2776	1.8099	-0.7345	1.4516	-0.1869	-0.4386	-0.5389	-0.8243	0.0345	0.7151	-0.1657	-0.2019	-0.7279	-0.1127	-0.4719	-0.033	0.1146
f0567	-1.8162	-0.7291	0.1071	1.6033	-0.2023	0.3249	1.3728	-2.096	-0.729	0.0563	0.636	-1.3227	1.3775	0.3014	2.5692	1.594	0.7865	0.1629	0.683	0.9588
f0984	2.5885	2.781	3.9223	4.3634	4.1926	2.8299	3.9171	1.9832	1.9186	2.3187	0.726	-0.0747	0.4031	-1.3219	-0.0265	2.2151	1.263	-0.2757	-0.7429	-0.1556
f0930	-1.9347	-0.1762	-0.6023	-1.3574	-2.7923	-2.0138	-1.3205	-2.8101	-2.5179	-2.5103	-1.7708	0.4219	-0.3361	0.3626	2.9767	0.8766	-0.2381	0.4677	0.0394	-0.3181
f0600	0.0404	1.145	-0.4567	-1.1834	-0.2659	-1.8266	1.1337	0.9196	-1.1728	0.0332	-0.4613	-0.1264	1.1803	-1.1416	-3.1004	1.4044	-0.9283	0.8117	2.1269	1.5111
f0745	1.0345	-2.0856	-0.5669	-1.5778	0.51	-1.3921	-0.3085	0.5061	0.1882	1.1399	-0.264	0.328	-1.1838	-0.8859	1.57	2.1946	0.1459	1.4086	0.0268	-0.4756
f0642	0.7827	0.2095	-0.386	0.5599	2.0244	0.1503	-0.0966	1.7531	-0.0553	1.6062	-0.4342	0.1209	1.578	1.8095	-0.2516	0.3638	-0.6446	-0.8824	1.3462	-1.3183
f0241	-0.286	-0.6049	-0.6425	-0.1033	-0.3498	-0.5859	0.1874	-0.0115	-0.4654	-0.3944	0.1756	-0.8048	-2.883	1.4635	-0.3981	1.2067	0.4918	1.5288	0.4394	-0.6125
f0508	-0.9953	-1.4199	1.3656	1.71	0.3517	-1.8354	-0.9406	-0.657	-0.0187	-0.3701	-0.9841	-1.5914	-0.6817	-1.0172	-1.3044	-1.3766	-0.6559	-0.7446	-0.8573	-2.1701
f0785	1.4952	0.1432	0.4752	1.173	0.6843	0.29	-0.0686	0.3003	1.4521	-1.2094	-0.183	1.1167	0.4635	-0.5669	1.4249	-0.0648	-0.4172	-0.5346	-0.5229	0.7681
f0744	0.0818	-0.2942	-2.3702	-1.0077	-0.4709	0.7967	-1.9898	0.0143	-1.4367	0.7718	-1.165	1.4849	-0.331	1.6834	-1.6947	-0.0199	0.1804	-0.2085	1.6026	0.7885
f0998	2.6738	4.8411	3.0119	3.4966	1.8626	3.4582	1.7285	2.8661	4.9445	1.5719	-1.2015	-0.9205	0.1498	-1.39	-0.4549	-1.076	1.1401	1.3934	-0.1874	-0.2376
f0856	-1.0865	1.6409	1.1011	0.0456	-0.4393	0.7236	-0.1553	-0.1963	-0.0578	-0.7467	1.1229	-0.3569	-1.6082	0.3414	2.3477	-0.096	0.6686	0.6795	-0.9909	-0.3473
f0128	2.2454	-0.2813	-0.2968	-0.7742	-0.3952	-0.5347	0.6117	-1.5389	0.6393	-0.0935	-0.4407	2.1597	0.9947	-0.2684	2.0063	0.325	1.1199	-0.024	0.1682	-0.2833
f0250	1.1837	-0.7352	1.3518	-0.055	0.3233	0.6585	-0.1469	-0.8819	0.8879	-0.1432	1.8035	2.8934	1.1311	-0.0535	0.7663	0.1714	-0.6876	1.4591	0.947	-0.0612
f0395	1.075	-0.8334	-0.7397	1.9253	-0.4266	-0.6252	1.1908	-0.627	1.6402	1.8491	0.9973	0.2627	0.2589	1.2518	-0.2771	-1.0105	-0.627	-1.0653	0.5322	-0.4245
f0716	0.5135	0.8934	2.1453	-1.5603	-1.7563	0.3595	-0.5638	-1.6764	-0.6667	-1.1849	0.9961	0.0633	0.9943	-0.6683	-0.0238	0.6014	0.6064	-0.1309	1.7025	-0.7754
f0775	1.5762	1.1343	-0.277	1.6681	-0.8109	-1.9567	0.9354	2.0222	0.9629	-0.8709	-0.1362	-0.024	1.327	0.0285	0.6406	-0.9067	0.1502	-1.9917	0.5167	-0.7949
f0236	0.9645	-0.2855	0.4898	0.7111	-0.9303	-0.5468	0.3144	0.0995	0.5576	-1.253	-0.4605	-1.5977	2.6401	-0.2826	0.2008	0.5813	1.3832	-1.6413	-0.4436	-1.2169
f0035	0.6989	0.1822	0.4974	-0.7871	-0.3268	2.1263	1.0882	0.0117	1.2686	-1.0145	0.1519	-1.3089	1.0955	-0.7557	0.5263	-1.2244	-0.137	-1.0919	0.6614	1.1299
f0322	-0.2744	-1.879	0.814	0.2475	-0.782	-1.6563	1.0794	-0.1905	0.3604	0.5792	0.654	-0.2368	-0.1197	0.9109	0.7785	0.6362	1.0404	-1.3383	-0.5538	-0.4216
f0657	0.0389	-1.4954	-0.6982	1.0523	0.2754	-1.0658	0.6963	-0.761	0.9299	0.1284	-1.9929	1.7522	1.2781	1.4748	-0.3501	-0.2172	-1.1228	-0.8231	0.6912	-0.4376
f0267	-0.435	-1.1352	-0.0151	0.9012	-0.0541	-0.1714	-2.0296	1.0767	-0.813	0.9995	-1.0514	0.3213	0.3155	0.772	-0.2862	-2.1388	0.4251	-0.7322	-0.1799	-0.4212
f0100	-0.9177	1.5792	0.8575	-1.7598	0.8865	1.5214	-1.9435	0.6957	-0.5627	2.6437	0.85	-0.0234	0.0114	-0.9676	-0.494	-1.3082	0.2049	0.0848	-0.0913	0.3473
f0287	-0.6626	-0.2354	0.4602	-0.3651	-0.7915	1.3153	1.1054	1.3871	-1.7149	0.5905	0.5829	-0.1337	0.1375	0.5285	-1.0537	0.9869	0.7652	-0.7828	0.637	1.0173
f0483	-0.0768	-0.5793	-0.4823	-0.6606	0.86	-1.3993	-0.6504	0.7862	-0.0439	-0.5317	0.437	-1.2614	-0.6626	1.3828	0.4768	1.5623	0.5436	0.4972	-1.374	0.6096
f0978	2.3774	0.8168	2.1658	1.7948	2.0288	0.6074	0.5683	3.2575	1.7763	2.2518	-1.4746	0.3019	1.3103	-0.2865	0.0827	1.6537	0.7247	0.0371	-0.5528	0.0731
f0526	-0.2125	-1.2356	-0.5736	0.4203	0.0094	0.2041	0.7883	0.1165	-0.0819	2.258	0.6524	2.1	-1.1771	-0.4096	-0.0161	0.309	0.2706	0.6226	0.6954	1.7796
f0763	1.6969	-0.4253	0.0049	0.5727	0.0901	0.5124	0.8698	-0.252	0.9257	0.8605	-0.4973	-0.4511	-0.3538	-1.7373	-0.8897	0.4158	-0.9807	-0.4416	0.6292	-1.7338
f0970	2.0467	0.9992	0.2313	3.0305	1.027	-0.5248	0.8326	3.5105	1.198	1.1557	0.7391	-0.0097	-1.0301	2.0933	-0.8524	1.95	0.0276	-1.4568	-1.2179	0.408
f0326	-0.9752	-1.0626	0.4551	-0.1721	0.7271	1.3151	1.3428	1.603	-0.91	0.8861	0.4173	-0.0386	1.5982	-0.8642	-0.7165	0.0192	-0.0207	1.3146	0.0458	-1.4264
f0833	-0.5429	-1.3062	0.7788	-0.6305	-0.6761	-1.373	-0.4322	-1.2858	-1.324	0.35	-0.572	-0.0529	-1.1166	-0.8312	-0.6322	0.7118	-0.0178	-0.0557	-0.8177	1.4558
f0232	-1.4703	0.5384	1.13	0.9597	-0.4957	0.2589	-0.8263	1.0722	-0.4921	-0.1344	0.7629	1.8929	-1.0912	-0.7618	-3.0361	0.506	0.7303	0.8387	0.6976	0.6591
f0438	0.8336	-1.6633	-1.9678	0.4433	0.5924	0.8653	-0.7945	-2.1008	0.0447	0.6198	-0.3944	1.8193	0.9323	0.8363	0.7705	-2.1165	-0.0364	0.5272	0.5867	-0.3763
f0689	-1.5772	0.0911	-0.8254	-1.278	-0.3437	1.3195	-0.6481	-0.0703	-0.1575	0.4	0.102	-0.6454	0.6539	1.527	1.2125	-1.4266	1.838	-1.5101	-0.1343	1.5331
f0107	-0.391	0.5725	-0.0998	2.2682	1.3154	0.1501	0.6959	1.4338	0.9012	0.8892	-0.8895	-0.6793	0.6587	-0.2109	-0.0768	-2.3199	1.3829	0.3627	-0.0934	1.014
f0923	-1.8562	-1.9534	-1.5802	-2.4664	-1.0261	-1.5425	-2.8163	-1.1471	-0.3917	-2.5285	-0.1543	-0.4535	-0.7013	0.4142	0.7514	-1.1739	-1.409	-1.0249	-0.39	-0.5643
